hotel_id,median_price_premium,median_occ_residual,median_expected_delta,median_diagnosis_signal,avg_price,avg_occupancy,median_peers,n_days,admin1,room_category,diagnosis
4084,-0.683370011538406,0.16476946046266738,0.2733480046153624,-0.05379358791431986,116.84708835341364,0.36716866,1146.0,166,National,standard,FAIR
4527,0.13264068249198632,0.20928315167388428,-0.05305627299679453,0.30275449307891955,324.84169811320754,0.36451033,783.0,53,National,standard,EXCEPTIONAL_VALUE
4950,-0.06161192044222551,0.06870391705695322,0.024644768176890205,0.08373116727780536,375.96864108382937,0.20755546,1292.0,320,National,standard,FAIR
5493,-0.04971234458400439,0.7847216962236828,0.01988493783360176,0.7846138969142704,311.6666666666667,1.0,1186.5,30,National,standard,EXCEPTIONAL_VALUE
5661,-0.21431105141866827,0.42165763220354735,0.08572442056746732,0.3921967319871702,349.77860805860803,0.5531135,1349.0,91,National,standard,UNDERPRICING
5671,-0.2717847252897433,0.10594832307582197,0.10871389011589733,-0.023191869644508784,175.77054054054054,0.32335907,722.0,37,National,standard,FAIR
5681,1.5772032142127341,0.457988572075436,-0.6308812856850936,1.1249439381972148,586.0641666666667,0.6666667,930.5,6,National,standard,EXCEPTIONAL_VALUE
5699,-0.7128957293328422,0.9574440019775248,0.2851582917331369,0.6722857102443878,75.0,1.0,1326.0,2,National,standard,UNDERPRICING
5703,0.21709562994977427,0.9230722533904108,-0.08683825197990971,1.0099105053703206,290.0,1.0,887.0,1,National,standard,EXCEPTIONAL_VALUE
5708,-0.7681455675889837,0.16835331620104194,0.30725822703559347,-0.09800563263794129,93.51345437616386,0.35540038,1142.0,179,National,standard,FAIR
5719,-0.5940470717083901,0.9351030285113229,0.23761882868335604,0.6974841998279668,88.0,1.0,801.0,1,National,standard,UNDERPRICING
5789,0.07399414044657737,0.42969648491098245,-0.02959765617863095,0.4668776000932705,337.0861904761905,0.5714286,1243.0,105,National,standard,EXCEPTIONAL_VALUE
5799,-0.5760781763501249,0.16183621935386,0.23043127054004997,0.05879249901338268,137.37054347826086,0.43083003,1113.0,253,National,standard,FAIR
5809,-0.7652249661074279,0.0922644374872593,0.30608998644297114,-0.19854012798085527,74.73228509574425,0.2928082,1164.0,459,National,standard,QUALITY_ISSUES
5825,-0.4640082614159754,0.1298838001126057,0.18560330456639015,-0.006025167166079079,174.76293074324323,0.30152026,1199.0,296,National,standard,FAIR
5833,1.8073663929273318,0.8552525483117299,-0.7229465571709328,1.550999833795371,1233.1666666666667,1.0,938.0,6,National,standard,EXCEPTIONAL_VALUE
5834,-0.22952299761886952,0.19303542128244816,0.09180919904754781,0.22474716727383526,252.35941836734693,0.3665209,1113.0,49,National,standard,UNDERPRICING
5848,-0.43134826579247726,0.0973364133103209,0.1725393063169909,-0.004506381531699757,179.50540614990393,0.26212364,1150.0,223,National,standard,FAIR
5852,-0.7756656681030654,0.11779065576713071,0.3102662672412262,-0.15231807217699755,81.1018407960199,0.30206114,1148.0,201,National,standard,QUALITY_ISSUES
5911,-0.6577141325738378,0.17836993399485335,0.2630856530295351,-0.026380725694098522,120.26629166666666,0.38680556,1142.0,120,National,standard,FAIR
5912,0.1829828629009959,0.37601148179796773,-0.07319314516039836,0.4818872712198954,374.0430704898447,0.55973715,1157.0,279,National,standard,EXCEPTIONAL_VALUE
5928,-0.14430624512475906,0.08948637912575488,0.05772249804990363,0.0864199729457525,325.77152158202153,0.29278865,1163.0,481,National,standard,FAIR
5944,0.32259761610088306,0.9288640187400719,-0.12903904644035322,1.0605081023818226,456.5055,1.0,1152.5,60,National,standard,EXCEPTIONAL_VALUE
5956,-0.5914207601010335,0.10708205592247878,0.2365683040404134,-0.07055392072645336,146.02480654761905,0.3173682,1164.0,448,National,standard,FAIR
5962,0.25053962234759714,0.9309265491189452,-0.10021584893903886,1.0116977075495808,436.336,1.0,1196.0,65,National,standard,EXCEPTIONAL_VALUE
5970,1.0525063446088148,0.858904533601964,-0.4210025378435259,1.2799070714454899,833.765,1.0,1173.5,2,National,standard,EXCEPTIONAL_VALUE
5980,0.026253589300361004,0.3695596833149982,-0.010501435720144402,0.3800611190351426,130.0,0.5,251.0,1,National,standard,EXCEPTIONAL_VALUE
5989,-0.27101236528444783,0.22999024341476218,0.10840494611377914,0.1968114172019031,231.18926584126982,0.5161143,1097.0,375,National,standard,UNDERPRICING
6013,0.006880030276071571,0.45073153285830037,-0.0027520121104286288,0.428756421893822,383.49927419354833,0.5322581,1146.5,62,National,standard,EXCEPTIONAL_VALUE
6016,-0.45858905105052505,0.21823008099370061,0.18343562042021003,0.0954228235451739,206.4635700757576,0.4247159,1147.0,176,National,standard,FAIR
6017,-0.02447589194903821,0.7367534743941532,0.009790356779615286,0.7269631176145379,267.1073333333334,1.0,771.5,2,National,standard,EXCEPTIONAL_VALUE
6046,0.5884124545905659,0.21982545501737688,-0.23536498183622637,0.5306043031081215,406.56913978494623,0.43494624,781.0,31,National,standard,EXCEPTIONAL_VALUE
6049,-0.5368934521990879,0.08801581026591274,0.2147573808796352,-0.1019205537066262,118.71520161290321,0.2559524,840.0,62,National,standard,QUALITY_ISSUES
6050,-0.7189217350158332,0.3970177710580194,0.2875686940063333,0.1092209581000439,124.71757575757577,0.57575756,1142.0,11,National,standard,UNDERPRICING
6056,-0.21358880812813066,0.1442470180075613,0.08543552325125228,0.11175127925389627,257.11612627447573,0.3366991,1070.0,274,National,standard,UNDERPRICING
6105,-0.609317268945766,0.11725878437585707,0.24372690757830642,-0.0900318656119055,149.18429177689595,0.34555224,1150.5,432,National,standard,FAIR
6118,-0.6766638521302694,0.32831505014537754,0.27066554085210776,0.046632126166518545,98.84841666666667,0.5978205,1147.5,260,National,standard,FAIR
6120,-0.8069434518010703,0.027058925360944876,0.32277738072042816,-0.3005732031335754,81.57477106227105,0.10629671,1105.5,52,National,standard,QUALITY_ISSUES
6124,-0.3714100363578918,0.258377468230642,0.1485640145431567,0.23213612394138342,225.7190909090909,0.51666665,1142.0,22,National,standard,UNDERPRICING
6137,-0.4774218953972852,0.10232567562071739,0.1909687581589141,-0.036258938658167594,178.0328935795954,0.29102904,1163.0,379,National,standard,FAIR
6206,-0.049509296174443294,0.2520972152023578,0.01980371846977732,0.29737174727084703,355.4097604166667,0.4572917,1195.0,160,National,standard,EXCEPTIONAL_VALUE
6249,-0.6442597611863122,0.15548474566373255,0.2577039044745249,-0.08976989271498276,122.79528434757589,0.35922888,1146.0,331,National,standard,FAIR
6251,-0.799047264642408,0.04380456581201705,0.31961890585696323,-0.2669256246373209,65.21450330514747,0.33036613,1163.0,489,National,standard,QUALITY_ISSUES
6257,-0.1908035107214548,0.21735291125272893,0.07632140428858192,0.2135222016192173,285.6720728643216,0.4313233,1157.0,199,National,standard,UNDERPRICING
6271,-0.23451256561187356,0.11829156844742639,0.09380502624474943,0.03560024521050732,265.0685472972973,0.29114112,1257.5,222,National,standard,FAIR
6276,-0.4417772132808855,0.056166082590134225,0.1767108853123542,-0.05329043169373757,246.56532634902356,0.17005375,1150.5,378,National,standard,FAIR
6283,-0.28959039624019145,0.8777752788309175,0.11583615849607658,0.8079244032465648,164.175,1.0,771.5,10,National,standard,UNDERPRICING
6290,-0.49864813355986176,0.0716149361356433,0.19945925342394472,-0.10001427829329826,167.9146360661103,0.22570007,1146.0,291,National,standard,QUALITY_ISSUES
6291,-0.16808507277649765,0.06797143777674798,0.06723402911059906,0.025129851010446437,270.68980481020355,0.21421625,1142.0,242,National,standard,FAIR
6292,-0.47345821362171603,0.03914338927356139,0.18938328544868643,-0.11267027629445528,175.63385017421604,0.1641651,978.0,41,National,standard,QUALITY_ISSUES
6297,0.33543678615099964,0.059809944406616446,-0.13417471446039986,0.22209732333038215,367.2212109053498,0.12664922,770.0,81,National,standard,EXCEPTIONAL_VALUE
6298,-0.43664464058239805,0.03329023948711868,0.17465785623295924,-0.052652210651290415,238.4490606060606,0.094125696,854.0,44,National,standard,FAIR
6299,-0.43911081164512167,0.07805844129067033,0.1756443246580487,-0.07183324886799841,169.8366989010989,0.25235775,1150.0,325,National,standard,FAIR
6308,-0.6341847051275842,0.08527245191887878,0.2536738820510337,-0.08181735408302439,174.62256862342636,0.28612855,1142.0,116,National,standard,FAIR
6318,1.3962345038324353,0.6652688474839225,-0.5584938015329741,1.2614776557566316,914.7692307692307,1.0,1670.0,13,National,standard,EXCEPTIONAL_VALUE
6333,-0.5570375525634647,0.11826166362889488,0.22281502102538586,-0.05421347971741017,173.7192728237792,0.34363058,1151.0,314,National,standard,FAIR
6339,1.0923262752200071,0.7144360855106913,-0.43693051008800293,1.1538224943151856,558.7758928571428,1.0,1161.0,56,National,standard,EXCEPTIONAL_VALUE
6342,-0.029952934289812803,0.09166665656721754,0.011981173715925122,0.09786160553662508,367.54756607929517,0.21880114,1151.0,227,National,standard,FAIR
6358,0.11563143151091705,0.44335244826240905,-0.046252572604366826,0.4998968309922942,396.5914375,0.625,1207.0,80,National,standard,EXCEPTIONAL_VALUE
6378,-0.6783986078355794,0.13873536409239573,0.27135944313423177,-0.09121169237409976,135.89697110423117,0.36207432,1151.0,323,National,standard,FAIR
6383,1.1327754179578555,0.9594081298799937,-0.45311016718314223,1.4125182970631358,500.0,1.0,731.0,1,National,standard,EXCEPTIONAL_VALUE
6387,1.8802133487396708,0.7592349870001345,-0.7520853394958684,1.511320326496003,1046.92,1.0,1094.0,1,National,standard,EXCEPTIONAL_VALUE
6389,0.026546706898695992,0.025620009192371895,-0.010618682759478398,0.06773081019814882,348.77590540035504,0.087966055,1151.0,139,National,standard,FAIR
6400,0.29231277573030734,0.7283992776670574,-0.11692511029212294,0.8021257304016787,270.733,0.8,504.0,10,National,standard,EXCEPTIONAL_VALUE
6415,0.030368460014279466,0.1349716814180547,-0.012147384005711788,0.23554939433109706,297.90960954063604,0.35117787,1151.0,283,National,standard,EXCEPTIONAL_VALUE
6426,-0.8954987882166398,0.025449845764231406,0.35819951528665595,-0.3282276740156479,35.32260613501903,0.20745695,1146.0,294,National,standard,QUALITY_ISSUES
6443,-0.5336846033399407,0.10734847637383929,0.21347384133597627,-0.09950244402146714,127.53090277777778,0.35208333,1082.0,48,National,standard,FAIR
6445,-0.4228453522646619,0.14597701913476022,0.16913814090586476,0.008990294041024749,240.49319931773877,0.36288986,1150.0,342,National,standard,FAIR
6478,-0.38582062588963323,0.09886179438082256,0.1543282503558533,-0.004353330917826623,205.8123319327731,0.279972,1146.0,136,National,standard,FAIR
6483,-0.7796657876111643,0.1360034358870672,0.31186631504446577,-0.1157869356879942,85.77558668903804,0.37908277,1167.5,298,National,standard,QUALITY_ISSUES
6490,0.04261411446846531,0.22781610271851613,-0.017045645787386123,0.3211188225657272,331.004375,0.50416666,1155.0,160,National,standard,EXCEPTIONAL_VALUE
6516,-0.215718249297537,0.1870724485590777,0.0862872997190148,0.1628736249106762,268.5954545454546,0.41477272,1143.5,88,National,standard,UNDERPRICING
6530,-0.5065179107530644,0.8098793392850314,0.20260716430122577,0.6182232936084961,83.6175,0.875,480.5,4,National,standard,UNDERPRICING
6539,-0.40498350887429524,0.20012064315176373,0.1619934035497181,0.11170314049040617,171.94631313131313,0.45286196,781.0,99,National,standard,UNDERPRICING
6542,-0.8357288205888564,0.22602879306855655,0.3342915282355426,-0.07316684993159744,56.156336754643206,0.49046922,1147.0,341,National,standard,FAIR
6545,0.006070320590730788,0.17317208093828693,-0.0024281282362923155,0.25076616150865977,333.82362068965523,0.36206895,1146.0,203,National,standard,EXCEPTIONAL_VALUE
6551,-0.7587693197067227,0.13946576108921466,0.3035077278826891,-0.12512989354983992,95.55921370143149,0.3291411,1213.0,326,National,standard,QUALITY_ISSUES
6577,0.3990091175205034,0.9020651064420603,-0.15960364700820137,1.0616687534502616,441.32,1.0,840.0,3,National,standard,EXCEPTIONAL_VALUE
6579,-0.8306147176571732,0.14971640374169015,0.33224588706286934,-0.18428431438317833,51.4684613997114,0.44596624,1151.0,418,National,standard,QUALITY_ISSUES
6580,-0.7829774601746206,0.03766596924053608,0.31319098406984824,-0.25096254727932005,89.03545625521053,0.13550758,1146.0,267,National,standard,QUALITY_ISSUES
6590,1.0010288540683432,0.7533958810991448,-0.4004115416273373,1.1587027835238475,522.481875,1.0,971.5,16,National,standard,EXCEPTIONAL_VALUE
6597,-0.714139726380205,0.2390435830645552,0.285655890552082,-0.04092851496499916,91.7703630050505,0.698548,1163.0,528,National,standard,FAIR
6602,1.4003566059707844,0.023369869699258063,-0.5601426423883138,0.5831965184316964,617.4285714285714,0.035714287,1293.0,7,National,standard,EXCEPTIONAL_VALUE
6605,-0.6086362461726812,0.16147487588842374,0.2434544984690725,0.0020195878797742706,138.20629032258066,0.3903994,1146.0,217,National,standard,FAIR
6612,0.7808750641999938,0.8414733217849967,-0.3123500256799975,1.0858842147606538,583.1726785714285,1.0,1155.0,56,National,standard,EXCEPTIONAL_VALUE
6627,-0.1742432082988909,0.10553724070295656,0.06969728331955635,0.07322768491058615,314.2351579775588,0.28600165,1158.0,348,National,standard,FAIR
6638,-0.04267596168522022,0.3064051356521933,0.01707038467408809,0.36490174647183843,365.3254166666667,0.5222222,1146.5,60,National,standard,EXCEPTIONAL_VALUE
6639,-0.8496027701590534,0.20785102126607985,0.33984110806362133,-0.13613193981451238,38.72727272727273,0.28863636,857.5,22,National,standard,QUALITY_ISSUES
6642,-0.4152228477006638,0.1677178114019639,0.16608913908026554,0.0916472200895746,234.3246898395722,0.40552586,1146.0,187,National,standard,FAIR
6662,-0.7112656514015856,0.15695418312536397,0.2845062605606342,-0.057558096497423966,117.14454851598173,0.3359658,726.5,146,National,standard,FAIR
6684,1.0336569368223203,0.7378275798287751,-0.4134627747289281,1.23043738641167,450.0,1.0,622.0,4,National,standard,EXCEPTIONAL_VALUE
6687,1.94319135554892,0.7925832559979402,-0.777276542219568,1.5698597982175082,554.4,1.0,473.0,1,National,standard,EXCEPTIONAL_VALUE
6688,-0.6839583427064382,0.07343470580375783,0.2735833370825753,-0.1419074733817549,116.42658950617285,0.33525378,1163.0,486,National,standard,QUALITY_ISSUES
6704,0.4349786583271272,0.19623680464830445,-0.17399146333085086,0.48493057909347265,505.0731944444444,0.43229166,1207.0,48,National,standard,EXCEPTIONAL_VALUE
6709,0.4185040021902179,0.2640052272866973,-0.16740160087608713,0.4987620178687725,442.9070652173913,0.42753625,908.0,46,National,standard,EXCEPTIONAL_VALUE
6727,-0.6391175727572478,0.1904289723372129,0.25564702910289916,-0.015447729272670851,132.01547530864198,0.4164095,1128.0,324,National,standard,FAIR
6729,-0.6316228242225956,0.08532794079369671,0.25264912968903824,-0.11455796734395271,139.02452584815123,0.27377522,1142.0,347,National,standard,QUALITY_ISSUES
6730,-0.270863398939898,0.8916339490190283,0.10834535957595921,0.7765798929776836,235.78105263157894,1.0,1185.0,133,National,standard,UNDERPRICING
6742,0.22704285197426466,0.8882958420226738,-0.09081714078970587,0.9319785251121683,394.1675675675676,1.0,1163.0,37,National,standard,EXCEPTIONAL_VALUE
6786,-0.18085781712080043,0.14045604415555682,0.07234312684832017,0.1046234249268297,298.65348518518516,0.3238889,1142.0,90,National,standard,UNDERPRICING
6807,0.10303794276814918,0.1046987497243834,-0.04121517710725967,0.18359813815785,428.00132183908045,0.25400475,1159.0,261,National,standard,EXCEPTIONAL_VALUE
6819,0.578916451437397,0.19973618944908417,-0.23156658057495882,0.4882172974128379,541.2890389294404,0.30961072,1185.0,137,National,standard,EXCEPTIONAL_VALUE
6826,1.0088055196092498,0.920020004953513,-0.40352220784369996,1.323542212797213,775.66,1.0,1114.0,1,National,standard,EXCEPTIONAL_VALUE
6847,-0.11609792125920732,0.16885886953478021,0.04643916850368293,0.24658756105206156,273.94068195179307,0.4061949,1140.5,162,National,standard,UNDERPRICING
6848,-0.7252970220241185,0.20902926468252744,0.2901188088096474,-0.050965657927667496,107.91070147679326,0.44098103,1142.0,316,National,standard,FAIR
6857,-0.8121250439422363,0.13813485646284257,0.3248500175768946,-0.18065447704606802,63.938918605312104,0.4955574,1167.5,452,National,standard,QUALITY_ISSUES
6880,0.17940197307904432,0.4505137789247277,-0.07176078923161774,0.5330547936895247,293.695,0.62,930.0,50,National,standard,EXCEPTIONAL_VALUE
6885,-0.013592329769557134,0.1806278430269277,0.005436931907822854,0.40128140357946496,363.87466666666666,0.33777776,854.0,30,National,standard,EXCEPTIONAL_VALUE
6896,-0.58461895219898,0.08421902693772139,0.233847580879592,-0.10013660316574668,140.36958600713012,0.22809608,1150.0,187,National,standard,QUALITY_ISSUES
6901,1.74100848264233,0.8052449131545754,-0.696403393056932,1.1592937562715582,763.244,0.8,998.0,5,National,standard,EXCEPTIONAL_VALUE
6911,-0.7716630098426407,0.040210643641307636,0.3086652039370563,-0.2476040678935987,75.01542650016306,0.24790849,1177.0,475,National,standard,QUALITY_ISSUES
6922,-0.4969013700955607,0.2517088737481914,0.1987605480382243,0.08850250745118407,181.53010416666666,0.4635417,1170.0,224,National,standard,FAIR
6923,-0.08832021644973334,0.825159109378065,0.035328086579893336,0.7898310227981717,236.11333333333332,1.0,840.0,3,National,standard,UNDERPRICING
6942,1.2794528072710978,0.7201988505309838,-0.5117811229084391,1.2468169500266297,620.9564705882353,1.0,884.0,17,National,standard,EXCEPTIONAL_VALUE
6943,1.6760100430508,0.7539013886602322,-0.6704040172203201,1.4407226034561529,883.5854999999999,1.0,1150.5,20,National,standard,EXCEPTIONAL_VALUE
6947,-0.7499781592215031,0.13072357964504838,0.29999126368860124,-0.14670629318211023,78.36340399978977,0.33363992,1164.0,453,National,standard,QUALITY_ISSUES
6952,-0.3618317472981625,0.2269526265313895,0.144732698919265,0.25930132363797864,303.93098290598294,0.4690171,1105.0,78,National,standard,UNDERPRICING
6961,0.9216365439573041,0.2847349715854098,-0.3686546175829217,0.7450220436240166,482.64757575757574,0.5378788,646.0,11,National,standard,EXCEPTIONAL_VALUE
6962,-0.21553271244116876,0.06573026788420161,0.08621308497646751,0.011298841732577544,281.2934380130048,0.20478755,1281.0,393,National,standard,FAIR
6964,0.8385862246428517,0.21062481527690174,-0.33543448985714075,0.6256235321903207,601.9061515151515,0.37727273,1149.0,110,National,standard,EXCEPTIONAL_VALUE
6990,-0.5316072260136435,0.19540063636973282,0.21264289040545742,0.020386606833506904,189.51093964334706,0.41358024,1159.0,243,National,standard,FAIR
7015,0.022455889684764557,0.09072232597855798,-0.008982355873905824,0.17671732533181345,285.0121278590176,0.2492829,1163.0,254,National,standard,EXCEPTIONAL_VALUE
7018,-0.7076673938522413,0.09813575217333183,0.2830669575408965,-0.15343710406312006,83.62123230373231,0.2740562,840.0,74,National,standard,QUALITY_ISSUES
7029,-0.3868935544351876,0.06522700223462675,0.15475742177407503,-0.044049499218646544,173.0054709168755,0.33574823,1151.0,456,National,standard,FAIR
7034,0.3650387470981708,0.9527220034078069,-0.14601549883926832,1.0987375022470751,254.1,1.0,443.0,1,National,standard,EXCEPTIONAL_VALUE
7043,-0.7670774646248975,0.11563127568407341,0.306830985849959,-0.1871017116683375,78.96998944840165,0.400597,1185.0,615,National,standard,QUALITY_ISSUES
7057,0.258572469342173,0.0650072924704751,-0.1034289877368692,0.21834593211368253,462.1497320531227,0.19405325,1151.0,199,National,standard,EXCEPTIONAL_VALUE
7059,-0.31576799584741816,0.2512371722254349,0.12630719833896728,0.16846401716741732,249.6168276972625,0.46618357,1163.0,207,National,standard,UNDERPRICING
7070,-0.6179191420562944,0.1572026134841793,0.24716765682251776,-0.07797931545434111,215.26500000000001,0.3164609,1648.0,81,National,standard,FAIR
7076,-0.21872159821555773,0.027782943491340223,0.0874886392862231,-0.024307094452312994,294.39268674632643,0.14511238,1163.0,569,National,standard,FAIR
7088,-0.799861157997385,0.02071672223331497,0.31994446319895403,-0.2868340673764338,79.12816473286067,0.19977556,1218.0,515,National,standard,QUALITY_ISSUES
7093,-0.6504101353748414,0.06277045673656437,0.2601640541499366,-0.1664486868571843,119.86707418304239,0.2274039,1151.0,346,National,standard,QUALITY_ISSUES
7097,-0.3207563403449375,0.20374557918803315,0.128302536137975,0.1494709158292668,203.56165229885056,0.38850573,777.0,58,National,standard,UNDERPRICING
7101,-0.6295676971196794,0.09731738040620222,0.25182707884787175,-0.08232857254540604,138.79364579831932,0.3204622,1163.0,255,National,standard,FAIR
7104,0.7603314112547038,0.4616693124760701,-0.30413256450188153,0.7920268423321755,480.6261538461538,0.6923077,887.0,13,National,standard,EXCEPTIONAL_VALUE
7107,1.2914711800922005,0.951373232677243,-0.5165884720368803,1.469198968949717,594.53,1.0,1647.5,4,National,standard,EXCEPTIONAL_VALUE
7131,0.18167620330554807,0.28123615904813987,-0.07267048132221923,0.41692176764916167,342.4697191011236,0.39325842,1185.0,89,National,standard,EXCEPTIONAL_VALUE
7151,1.1651897700617582,0.07947866650501534,-0.4660759080247033,0.5616688773530767,721.1421544715447,0.18658537,1150.5,82,National,standard,EXCEPTIONAL_VALUE
7157,-0.2156575935467553,0.04003740301140038,0.08626303741870212,0.037286867622621775,380.8646274393284,0.18373777,1150.0,275,National,standard,FAIR
7160,0.19701687804663964,0.9295620782171585,-0.07880675121865587,0.9866014825651201,350.54285714285714,1.0,854.0,28,National,standard,EXCEPTIONAL_VALUE
7166,-0.22948703014989458,0.132587692344404,0.09179481205995783,0.0904059319588725,256.1399823573574,0.3888889,1151.0,444,National,standard,FAIR
7169,0.5487966418713156,0.13509526366964308,-0.21951865674852625,0.5105802662730965,626.322695035461,0.33226952,1146.0,47,National,standard,EXCEPTIONAL_VALUE
7170,-0.6676742402202199,0.17744638839820825,0.267069696088088,-0.01544561521568022,153.87680933852138,0.37431908,1150.0,257,National,standard,FAIR
7182,-0.44939568433123817,0.09006867151457232,0.17975827373249528,-0.04257377915394739,170.92220512820512,0.38610536,1151.0,481,National,standard,FAIR
7195,0.19675507334783066,0.19259183588398343,-0.07870202933913227,0.35172362197880735,430.1273497854077,0.40665236,1281.0,233,National,standard,EXCEPTIONAL_VALUE
7206,-0.5518244256870972,0.4163437308355217,0.22072977027483892,0.1979555200086373,144.20123595505618,0.66292137,1177.0,178,National,standard,UNDERPRICING
7209,1.1486091375993976,0.45697416404355506,-0.4594436550397591,0.9712650250606838,715.7345454545455,0.6818182,1146.0,11,National,standard,EXCEPTIONAL_VALUE
7219,0.067597248494173,0.16867667147346194,-0.0270388993976692,0.25387996279494734,384.91710416666666,0.3265625,1150.0,160,National,standard,EXCEPTIONAL_VALUE
7220,-0.06731567364082584,0.23122223507876827,0.026926269456330337,0.27380543823055964,342.060749235474,0.41513762,1287.0,109,National,standard,UNDERPRICING
7226,-0.11016892601187367,0.07598687166283422,0.04406757040474947,0.08392883601692935,318.4076482628766,0.23958334,1150.0,392,National,standard,FAIR
7229,0.11169437919662084,0.9112145410252261,-0.04467775167864834,0.9344447346455634,406.08454545454543,1.0,1349.0,33,National,standard,EXCEPTIONAL_VALUE
7237,0.3778381506036913,0.1802282822591538,-0.15113526024147653,0.4140473205724288,624.9030612244898,0.37585032,1150.0,49,National,standard,EXCEPTIONAL_VALUE
7238,-0.6042515309390226,0.19790795421171015,0.24170061237560908,-0.005683516507233935,119.57425986842104,0.53125,1158.0,304,National,standard,FAIR
7240,-0.4655819984836739,0.2716924524553287,0.18623279939346957,0.1944571994850493,318.5677450980392,0.45424837,1163.0,153,National,standard,UNDERPRICING
7247,0.0007322840754580329,0.19020064474459872,-0.0002929136301832132,0.2732339850956919,616.1339130434783,0.4094203,1641.0,23,National,standard,EXCEPTIONAL_VALUE
7251,0.8455281571267513,0.9613172990538659,-0.3382112628507006,1.2979461645532324,401.48,1.0,862.0,5,National,standard,EXCEPTIONAL_VALUE
7254,0.3793193872358184,0.07944928848976004,-0.15172775489432735,0.2813644348807198,498.0007225368855,0.19205125,1208.0,227,National,standard,EXCEPTIONAL_VALUE
7280,1.3774718930617742,0.864391451512215,-0.5509887572247097,1.40669349062892,731.7355555555555,1.0,862.0,9,National,standard,EXCEPTIONAL_VALUE
7293,-0.026998089722484655,0.16251672442525675,0.010799235888993862,0.2782324269385062,449.8089806547619,0.3328869,1246.0,224,National,standard,EXCEPTIONAL_VALUE
7301,0.05307017358716506,0.06332819228107493,-0.021228069434866024,0.13369245779880395,366.5979064868025,0.21719904,1097.0,101,National,standard,EXCEPTIONAL_VALUE
7302,-0.028964631763328013,0.15565655448557902,0.011585852705331206,0.1935444510563346,318.20994161198047,0.31164113,1145.0,283,National,standard,EXCEPTIONAL_VALUE
7314,-0.7430611480072908,0.05273841856091169,0.29722445920291635,-0.20704187289971698,92.21340476240526,0.25010902,1163.0,499,National,standard,QUALITY_ISSUES
7319,-0.7383209185123688,0.056957240328722625,0.29532836740494756,-0.2134136088922223,92.18166533377376,0.23833859,1142.0,249,National,standard,QUALITY_ISSUES
7320,-0.5421392223470097,0.17329361723310271,0.21685568893880391,0.011844133135843149,167.55012414537603,0.4706729,1147.0,397,National,standard,FAIR
